ZIP,PARENT_METRO_REGION,market_score,market_category,Median_Income,county_adj,score_adj,max_ltv,MEDIAN_SALE_PRICE,HOMES_SOLD,MEDIAN_DOM
91040,"Los Angeles, CA",47.68620265794784,Neutral,41448,-2,0,68,580000.0,1.0,9.0
91604,"Los Angeles, CA",51.52139709730752,Neutral,70013,-2,0,68,862750.0,10.0,62.5
90815,"Los Angeles, CA",48.08644153738635,Neutral,60679,-2,0,68,807500.0,2.0,95.0
91739,"Riverside, CA",70.69277920298414,Prime,58472,-1,2,71,1075000.0,59.0,33.5
91436,"Los Angeles, CA",52.82221763691424,Neutral,82802,-2,0,68,2800500.0,40.0,56.0
91311,"Los Angeles, CA",58.63937952015734,Neutral,51864,-2,0,68,612000.0,8.0,45.0
90405,"Los Angeles, CA",53.21870050911222,Neutral,75495,-2,0,68,1619000.0,3.0,126.0
90059,"Los Angeles, CA",40.90013323274189,Neutral,27608,-2,0,68,580000.0,34.0,84.0
91011,"Los Angeles, CA",40.024521161096665,Neutral,100704,-2,0,68,1482500.0,2.0,40.0
91804,"Los Angeles, CA",,Neutral,,-2,0,68,1000000.0,3.0,59.0
90504,"Los Angeles, CA",77.74851563698289,Prime,46282,-2,2,70,1073250.0,28.0,23.0
90601,"Los Angeles, CA",52.56873043377972,Neutral,47837,-2,0,68,535000.0,7.0,128.0
92225,"Riverside, CA",30.099128084106148,Declining,22621,-1,-5,64,260000.0,21.0,81.0
91502,"Los Angeles, CA",59.94142211517608,Neutral,36441,-2,0,68,925000.0,3.0,27.0
91311,"Los Angeles, CA",71.24837874189838,Prime,51864,-2,2,70,903750.0,90.0,46.0
92252,"Riverside, CA",35.66571999070368,Neutral,29443,-1,0,69,396750.0,62.0,117.0
90755,"Los Angeles, CA",53.059023482437496,Neutral,49575,-2,0,68,1270000.0,9.0,40.0
92241,"Riverside, CA",20.526324910591175,Declining,26748,-1,-5,64,555000.0,7.0,82.0
90810,"Los Angeles, CA",62.81964682926636,Neutral,32935,-2,0,68,720000.0,23.0,30.0
91030,"Los Angeles, CA",88.01139536518437,Prime,73363,-2,2,70,1775000.0,41.0,27.0
90212,"Los Angeles, CA",45.44848670667029,Neutral,70904,-2,0,68,1815000.0,8.0,70.0
90272,"Los Angeles, CA",57.20310053319477,Neutral,96854,-2,0,68,3585000.0,13.0,56.0
91723,"Los Angeles, CA",50.50754814241836,Neutral,41085,-2,0,68,640000.0,3.0,51.5
91356,"Los Angeles, CA",62.364179798565566,Neutral,54561,-2,0,68,694500.0,16.0,41.0
90254,"Los Angeles, CA",74.07519901420943,Prime,96463,-2,2,70,2847500.0,10.0,23.5
92236,"Riverside, CA",17.173230933908627,Declining,31280,-1,-5,64,500000.0,1.0,38.0
91006,"Los Angeles, CA",77.15245225330196,Prime,50204,-2,2,70,1411500.0,62.0,37.5
90241,"Los Angeles, CA",39.88828589034815,Neutral,39374,-2,0,68,892000.0,2.0,39.0
90293,"Los Angeles, CA",77.12036122267271,Prime,74795,-2,2,70,925000.0,35.0,52.5
90062,"Los Angeles, CA",35.49029780870415,Neutral,29434,-2,0,68,710000.0,36.0,61.0
91210,"Los Angeles, CA",59.214212513605105,Neutral,56188,-2,0,68,1287500.0,2.0,23.0
92264,"Riverside, CA",22.954854479685466,Declining,45708,-1,-5,64,611000.0,2.0,372.5
92354,"Riverside, CA",33.81349985958182,Declining,39513,-1,-5,64,475000.0,1.0,84.0
91106,"Los Angeles, CA",72.86406266092094,Prime,56368,-2,2,70,701000.0,9.0,25.0
91010,"Los Angeles, CA",51.38405807441846,Neutral,36618,-2,0,68,563500.0,4.0,54.0
90212,"Los Angeles, CA",51.870572821790596,Neutral,70904,-2,0,68,3180000.0,17.0,69.0
91104,"Los Angeles, CA",86.10210004605085,Prime,47648,-2,2,70,1365000.0,50.0,28.0
90504,"Los Angeles, CA",77.29826499126706,Prime,46282,-2,2,70,1079500.0,26.0,20.0
91024,"Los Angeles, CA",39.64511728810272,Neutral,74829,-2,0,68,920000.0,1.0,31.0
91104,"Los Angeles, CA",85.59653902520525,Prime,47648,-2,2,70,1387500.0,44.0,25.0
90026,"Los Angeles, CA",73.95645145009615,Prime,42782,-2,2,70,1387500.0,58.0,48.5
92880,"Riverside, CA",48.78647270174423,Neutral,54476,-1,0,69,575000.0,17.0,91.0
91411,"Los Angeles, CA",63.86427334310108,Neutral,40496,-2,0,68,1300000.0,17.0,44.0
90806,"Los Angeles, CA",52.119079218544506,Neutral,31545,-2,0,68,557000.0,2.0,18.0
92881,"Riverside, CA",43.14730365345588,Neutral,48967,-1,0,69,632500.0,2.0,18.5
91203,"Los Angeles, CA",44.18585095747456,Neutral,41284,-2,0,68,780000.0,9.0,53.0
92373,"Riverside, CA",63.89841424324777,Neutral,52873,-1,0,69,410000.0,9.0,24.5
93532,"Los Angeles, CA",49.58405306667489,Neutral,47589,-2,0,68,439000.0,5.0,69.0
92366,"Riverside, CA",,Neutral,,-1,0,69,250000.0,1.0,100.0
90031,"Los Angeles, CA",43.20963836798928,Neutral,28612,-2,0,68,471000.0,1.0,33.0
92314,"Riverside, CA",10.76407208215213,Declining,36986,-1,-5,64,635000.0,1.0,257.0
90044,"Los Angeles, CA",35.67709675840689,Neutral,27583,-2,0,68,799000.0,19.0,109.0
